type,siret
present_2025_not_old,75274910100016
present_2025_not_old,75097300000011
present_2025_not_old,26161012500013
present_2025_not_old,94089652500018
present_2025_not_old,79412780300011
present_2025_not_old,30137039100023
present_2025_not_old,52375666600021
present_2025_not_old,30597202800016
present_2025_not_old,39949318800029
present_2025_not_old,35363439700023
present_2025_not_old,75276246800029
present_2025_not_old,75099648000018
present_2025_not_old,26170377100012
present_2025_not_old,48775647000026
present_2025_not_old,79412780300037
present_2025_not_old,30138577900022
present_2025_not_old,51397105100034
present_2025_not_old,30599256200028
present_2025_not_old,78368334500038
present_2025_not_old,35364799300016
present_2025_not_old,75276389600012
present_2025_not_old,75100907700015
present_2025_not_old,26180053600011
present_2025_not_old,90332891200014
present_2025_not_old,79412780300029
present_2025_not_old,30138660300015
present_2025_not_old,18680293000013
present_2025_not_old,30599513600044
present_2025_not_old,79435833300019
present_2025_not_old,35364799300024
present_2025_not_old,75278281300014
present_2025_not_old,75101555300017
present_2025_not_old,26210143900012
present_2025_not_old,42401488400011
present_2025_not_old,33824511100012
present_2025_not_old,30138676900014
present_2025_not_old,92023210500014
present_2025_not_old,30601159400018
present_2025_not_old,90403871800014
present_2025_not_old,35364812400017
present_2025_not_old,75278763000017
present_2025_not_old,75101659300012
present_2025_not_old,26210781600015
present_2025_not_old,51750855200018
present_2025_not_old,94089297900011
present_2025_not_old,30138903700013
present_2025_not_old,45222651700012
present_2025_not_old,30601418400049
present_2025_not_old,38904681400031
present_2025_not_old,35365112800012
present_2025_not_old,75279400800017
present_2025_not_old,75103063600011
present_2025_not_old,26220382100018
present_2025_not_old,93230811700062
present_2025_not_old,53381735900011
present_2025_not_old,30139689100014
present_2025_not_old,52331602400018
present_2025_not_old,30603768000031
present_2025_not_old,81816689400019
present_2025_not_old,35365663000020
present_2025_not_old,75280054000011
present_2025_not_old,75103077600015
present_2025_not_old,26240486600010
present_2025_not_old,79378918100013
present_2025_not_old,89367071100017
present_2025_not_old,30140050300035
present_2025_not_old,21360073700026
present_2025_not_old,30604539400021
present_2025_not_old,80906419900023
present_2025_not_old,35365863600025
present_2025_not_old,75280620800019
present_2025_not_old,75104233400019
present_2025_not_old,26240603600018
present_2025_not_old,87863700800011
present_2025_not_old,83534169400015
present_2025_not_old,30141095700015
present_2025_not_old,80035392200019
present_2025_not_old,30605213500028
present_2025_not_old,88977966600011
present_2025_not_old,35366032700027
present_2025_not_old,75280697600011
present_2025_not_old,75104603800012
present_2025_not_old,26270072700015
present_2025_not_old,97802237400018
present_2025_not_old,89146016400017
present_2025_not_old,30142115200010
present_2025_not_old,92347641000017
present_2025_not_old,30605577300015
present_2025_not_old,39337778300021
present_2025_not_old,35367059900029
present_2025_not_old,75282776600011
present_2025_not_old,75104855400016
present_2025_not_old,26270772200019
